people,img_id,Layer,X,Y,GrayValue
shn,frame_005989,4,107,277,247.48
shn,frame_005989,5,107,277,207.26
shn,frame_005989,6,107,277,106.95
shn,frame_005989,7,107,277,137.3
shn,frame_005989,8,107,277,248.81
shn,frame_005989,9,107,277,206.26
shn,frame_005989,10,107,277,109.81
shn,frame_005989,11,107,277,133.91
shn,frame_005989,12,107,277,247.58
shn,frame_005989,13,107,277,223.82
shn,frame_005989,14,107,277,112.99
shn,frame_005989,15,107,277,140.51
shn,frame_005930,0,112,273,249.21
shn,frame_005930,1,112,273,240.85
shn,frame_005930,2,112,273,119.38
shn,frame_005930,3,112,273,150.42
shn,frame_005930,4,112,273,248.32
shn,frame_005930,5,112,273,211.45
shn,frame_005930,6,112,273,109.92
shn,frame_005930,7,112,273,138.12
shn,frame_005930,8,112,273,250.05
shn,frame_005930,9,112,273,210.66
shn,frame_005930,10,112,273,111.5
shn,frame_005930,11,112,273,135.93
shn,frame_005930,12,112,273,249.1
shn,frame_005930,13,112,273,230.81
shn,frame_005930,14,112,273,115.33
shn,frame_005930,15,112,273,141.5
shn,frame_005956,0,105,272,249.56
shn,frame_005956,1,105,272,231.99
shn,frame_005956,2,105,272,113.7
shn,frame_005956,3,105,272,150.05
shn,frame_005956,4,105,272,248.13
shn,frame_005956,5,105,272,203.54
shn,frame_005956,6,105,272,104.7
shn,frame_005956,7,105,272,133.77
shn,frame_005956,8,105,272,250.16
shn,frame_005956,9,105,272,205.19
shn,frame_005956,10,105,272,106.5
shn,frame_005956,11,105,272,131.02
shn,frame_005956,12,105,272,249.8
shn,frame_005956,13,105,272,222.62
shn,frame_005956,14,105,272,109.42
shn,frame_005956,15,105,272,137.03
shn,frame_006209,0,111,277,247.87
shn,frame_006209,1,111,277,233.12
shn,frame_006209,2,111,277,115.05
shn,frame_006209,3,111,277,151.87
shn,frame_006209,4,111,277,245.84
shn,frame_006209,5,111,277,204.33
shn,frame_006209,6,111,277,107.15
shn,frame_006209,7,111,277,135.98
shn,frame_006209,8,111,277,248.55
shn,frame_006209,9,111,277,203.8
shn,frame_006209,10,111,277,107.6
shn,frame_006209,11,111,277,133.95
shn,frame_006209,12,111,277,248.28
shn,frame_006209,13,111,277,221.33
shn,frame_006209,14,111,277,109.77
shn,frame_006209,15,111,277,137.88
shn,frame_006230,0,111,277,248.75
shn,frame_006230,1,111,277,231.73
shn,frame_006230,2,111,277,112.72
shn,frame_006230,3,111,277,149.89
shn,frame_006230,4,111,277,246.69
shn,frame_006230,5,111,277,203.6
shn,frame_006230,6,111,277,104.26
shn,frame_006230,7,111,277,134.12
shn,frame_006230,8,111,277,248.71
shn,frame_006230,9,111,277,202.06
shn,frame_006230,10,111,277,104.21
shn,frame_006230,11,111,277,132.07
shn,frame_006230,12,111,277,248.84
shn,frame_006230,13,111,277,220.93
shn,frame_006230,14,111,277,109.66
shn,frame_006230,15,111,277,137.4
shn,frame_006386,0,111,278,246.3
shn,frame_006386,1,111,278,223.73
shn,frame_006386,2,111,278,107.55
shn,frame_006386,3,111,278,145.54
